type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Movie,Resort to Love,Steven Tsuchida,"Christina Milian, Jay Pharoah, Sinqua Walls, Tymberlee Hill, Jeryl Prescott Gallien, Christiani Pitts, Karen Obilom, Alexander Hodge, T.J. Power, Sylvaine Strike, Kayne Lee Harrison",,2021-07-29,2021,TV-14,102 min,"Comedies, Romantic Movies","Reeling from a broken heart and career meltdown, a singer takes a gig at a swanky island resort â€” where her ex-fiancÃ© happens to be getting married."
TV Show,Transformers: War for Cybertron: Kingdom,,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco, Tessho Genda, Ryohei Kimura, Kikuko Inoue, Kazuhiko Inoue, Chafurin",,2021-07-29,2021,TV-Y7,1 Season,Anime Series,The frantic race to locate the Allspark first culminates on a strange planet as the future comes crashing through to the present day.
Movie,Bartkowiak,Daniel Markowicz,"JÃ³zef PawÅ‚owski, Zofia Domalik, Szymon Bobrowski, BartÅ‚omiej Topa, Janusz Chabior, RafaÅ‚ Zawierucha, Antoni Pawlicki, Cezary Åukaszewicz, Danuta Stenka, Jan Frycz, Damian Majewski",Poland,2021-07-28,2021,TV-MA,92 min,"Action & Adventure, International Movies","After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub â€” and soon learns his sibling's death wasnâ€™t an accident."
Movie,Fantastic Fungi,Louie Schwartzberg,,United States,2021-07-28,2019,TV-14,81 min,Documentaries,"Delve into the magical world of fungi, from mushrooms that clear oil spills to underground fungal networks that help trees communicate."
TV Show,Tattoo Redo,,,,2021-07-28,2021,TV-MA,1 Season,Reality TV,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones."
TV Show,The Flash,Glen Winter,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States,2021-07-28,2021,TV-14,7 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.
TV Show,The Snitch Cartel: Origins,,"Juan Pablo Urrego, SebastiÃ¡n Osorio, Patricia Tamayo, VerÃ³nica VelÃ¡squez, MarÃ­a Camila ZÃ¡rate, Nicole SantamarÃ­a, Eduardo PÃ©rez, Julian Farrieta, Gustavo Angarita Jr., Carlos Manuel Vesga, Helena Mallarino, David Prada, Margarita Reyes, Adriana Silva, Laura RodrÃ­guez, AngÃ©lica BlandÃ³n, Maia Landaburu, JesÃºs de los RÃ­os",,2021-07-28,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Over four decades, two brothers in Cali juggle family duties, multiple romances and illegal businesses, transforming from poor kids to cocaine kingpins."
TV Show,All American,,"Daniel Ezra, Taye Diggs, Samantha Logan, Bre-Z, Greta Onieogou, Monet Mazur, Michael Evans Behling, Cody Christian, Karimah Westbrook, Jalyn Hall, Jordan Belfi, Briana Lane",United States,2021-07-27,2021,TV-14,3 Seasons,"TV Dramas, Teen TV Shows",Culture clashes and brewing rivalries test a teen football player from South Los Angeles when heâ€™s recruited to the Beverly Hills High School team.
Movie,Department,Ram Gopal Varma,"Amitabh Bachchan, Sanjay Dutt, Rana Daggubati, Vijay Raaz, Abhimanyu Singh, Madhu Shalini, Deepak Tijori, Anjana Sukhani, Manchu Lakshmi",India,2021-07-27,2012,TV-MA,143 min,"Action & Adventure, International Movies","Two cops form a task force to take down two mobsters, but when a sinister politician enters the picture, dubious loyalties and motives come to light."
Movie,Hostage House,David Benullo,"Jennifer Taylor, Justin Schilling, Emily Sweet, Julia Terranova, Patrick Cronen, Richard Neil",,2021-07-27,2021,TV-14,86 min,Thrillers,"A realtor and her daughter get taken captive by two fugitive criminals during an open house, forcing her to find creative ways to ensure their survival."
TV Show,How to Sell Drugs Online (Fast),,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung, Leonie Wesselow, Luna Schaller, Bjarne MÃ¤del, Roland Riebeling",Germany,2021-07-27,2021,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Comedies","To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom â€“ and becomes one of Europe's biggest dealers."
TV Show,Mighty Express,,"Jay Hatton, Zoe Hatz, Meesha Contreras, Dylan Shombing, Tyler Nathan, Leo Orgil, Michela Luci, Ian Ho, Evan Lefeuvre, Annick Obonsawin","United States, Canada",2021-07-27,2021,TV-Y,4 Seasons,Kids' TV,Catch a ride with the Mighty Express â€” a team of trains and their kid friends who overcome trouble on the tracks with quick thinking and teamwork!
Movie,Mimi,Laxman Utekar,"Kriti Sanon, Pankaj Tripathi, Sai Tamhankar, Manoj Pahwa, Supriya Pathak, Evelyn Edwards",,2021-07-27,2021,TV-14,132 min,"Comedies, Dramas, International Movies","An aspiring actress in a small town agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes unexpected turns."
TV Show,Plastic Cup Boyz: Laughing My Mask Off!,"Royale Watkins, Rich Schlansker","Joey Wells, Will 'Spank' Horton, Na'im Lynn",,2021-07-27,2021,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedy collective The Plastic Cup Boyz pour out the punchlines in Atlanta during a trio of raw and lively stand-up specials.
Movie,The Operative,Yuval Adler,"Diane Kruger, Martin Freeman, Cas Anvar, Rotem Keinan, Yohanan Herson","France, Israel, Germany, United States, United Kingdom",2021-07-27,2019,TV-MA,117 min,"Dramas, International Movies, Thrillers","Working as a Mossad spy assigned to Tehran, Rachel reaches her breaking point. Now itâ€™s dangerously hard to tell whose side sheâ€™s on."
TV Show,The Walking Dead,,"Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal",United States,2021-07-26,2019,TV-MA,10 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas","In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival."
TV Show,Wynonna Earp,,"Melanie Scrofano, Shamier Anderson, Tim Rozon, Dominique Provost-Chalkley, Michael Eklund, Katherine Barrell, Greg Lawson, Natascha Girgis","Canada, United States",2021-07-26,2020,TV-MA,4 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",The outcast descendant of lawman Wyatt Earp teams up with an immortal Doc Holliday to rid the world of demonic revenants from the Wild West.
Movie,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Escalante Lundy, Don Johnson",United States,2021-07-24,2012,R,165 min,"Action & Adventure, Dramas","Accompanied by a German bounty hunter, a freed slave named Django travels across America to free his wife from a sadistic plantation owner."
Movie,A Second Chance:  Rivals!,Clay Glen,"Emily Morris, Stella Shute, Eva Grados, India Colombi, Nina Pearce, Adam Tuominen, Carmel Johnson, Natasha Wanganeen, Elysia Markou, Alexander Lloyd, Amy Handley",Australia,2021-07-23,2021,PG,91 min,"Children & Family Movies, Sports Movies","Crushed when she doesn't qualify for the Olympics, a now-grown Maddy Cornell finds new purpose coaching young gymnasts going up against a rival team."
Movie,African America,Muzi Mthembu,"Phumelele Mthembu, Anthony Goss, Thami Buti, Makhosazana Ndlovu, Zandile Lujabe, Gontse Ntshegang, Roget Ellis, Bridget Pike, Boipelo Nokukhanya Tau, James Raynolds, Nji Alain, Bongani Dlamin",,2021-07-23,2021,TV-MA,97 min,"Dramas, Independent Movies, International Movies",A disgruntled South African woman leaves her fiancÃ© and embezzles money from her job to pursue her dream of being a Broadway star in New York City.
Movie,Bankrolled,Marcos Bucay,"Aldo Escalante, Ricardo Polanco, Natalia TÃ©llez, Fabrizio Santini, SeoJu Park, MarÃ­a ChacÃ³n, Giuseppe Gamba, SebastiÃ¡n Zurita",,2021-07-23,2021,TV-MA,97 min,"Comedies, International Movies",Two directionless millennial bros get high and pitch a bold new social justice app that raises millions. Then they have to come up with the app.
Movie,Blood Red Sky,Peter Thorwarth,"Peri Baumeister, Alexander Scheer, Kais Setti, Carl Koch, Gordon Brown, Roland MÃ¸ller, Chidi Ajufo, Kai Ivo Baulitz, Graham McTavish, Dominic Purcell",,2021-07-23,2021,TV-MA,123 min,"Action & Adventure, Horror Movies, International Movies","When a group of terrorists hijacks an overnight transatlantic flight, a mysteriously ill woman must unleash a monstrous secret to protect her young son."
TV Show,Feels Like Ishq,,"Radhika Madan, Amol Parashar, Rohit Saraf, Kajol Chugh, Tanya Maniktala, Mihir Ahuja, Simran Jehani, Sanjeeta Bhattacharya, Saba Azaad, Skand Thakur, Zayn Marie Khan, Neeraj Madhav",,2021-07-23,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.
Movie,Kingdom: Ashin of the North,Kim Seong-hun,"Gianna Jun, Park Byung-eun, Kim Si-a, Kim Roi-ha, Koo Kyo-hwan",,2021-07-23,2021,TV-MA,94 min,"Horror Movies, International Movies, Thrillers","Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom."""
TV Show,Masters of the Universe: Revelation,,"Mark Hamill, Lena Headey, Chris Wood, Sarah Michelle Gellar, Liam Cunningham, Stephen Root, Diedrich Bader, Griffin Newman, Tiffany Smith, Henry Rollins, Alan Oppenheimer, Susan Eisenberg, Alicia Silverstone, Justin Long, Jason Mewes, Phil LaMarr, Tony Todd, Cree Summer, Kevin Michael Richardson, Kevin Conroy, Harley Quinn Smith",,2021-07-23,2021,TV-PG,1 Season,"TV Action & Adventure, TV Sci-Fi & Fantasy","After a calamitous battle fractures Eternia, Teela and an unlikely alliance must prevent the end of the Universe in this sequel to the â€™80s classic."
TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,,"Kevin Smith, Tiffany Smith, Robert David, Sarah Michelle Gellar, Chris Wood, Liam Cunningham, Alan Oppenheimer, Lena Headey, Kevin Conroy, Henry Rollins, Jason Mewes, Stephen Root, Mark Hamill",,2021-07-23,2021,TV-PG,1 Season,"Anime Series, Stand-Up Comedy & Talk Shows",Take a behind-the-scenes look at â€œMasters of the Universe: Revelationâ€ as showrunner Kevin Smith and others interview the cast about their iconic roles.
TV Show,Sky Rojo,,"VerÃ³nica SÃ¡nchez, Miguel Ãngel Silvestre, Asier Etxeandia, Lali EspÃ³sito, Yany Prado, Enric Auquer, Luis Zahera, Carmen SantamarÃ­a, Cecilia GÃ³mez, Godeliv Van den Brandt, PenÃ©lope Guerrero, Luisa Vides, Niko Verona, Chema Ruiz",Spain,2021-07-23,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",A fatal turn of events at a brothel sends three women haunted by their pasts on a wild run from their pimp and his henchmen.
Movie,The Last Letter From Your Lover,Augustine Frizzell,"Shailene Woodley, Felicity Jones, Callum Turner, Joe Alwyn, Nabhaan Rizwan, Ncuti Gatwa, Emma Appleton, Christian Brassington, Alice Orr-Ewing, Lee Knight, Zoe Boyle, Ben Cross, Diana Kent",United Kingdom,2021-07-23,2021,TV-MA,111 min,"Dramas, Romantic Movies","After finding a trove of love letters from 1965, a reporter sets out to solve the mystery of a secret affair â€” while embarking on a romance of her own."
TV Show,The Movies That Made Us,,,United States,2021-07-23,2021,TV-MA,2 Seasons,Docuseries,"These blockbusters brought us together and gave us the time of our lives. Meet the actors, directors and industry insiders who made them happen."
Movie,9to5: The Story of a Movement,,,,2021-07-22,2021,TV-MA,85 min,Documentaries,"In this documentary, female office workers in '70s Boston inspire change with a call for better pay, more opportunities and an end to sexual harassment."
Movie,Chhota Bheem - Dinosaur World,Sidheswar Shukla,"Sonal Kaushal, Rupa Bhimani, Julie Tejwani, Sabina Malik, Jigna Bharadwaj",,2021-07-22,2015,TV-Y,65 min,Children & Family Movies,"When a scientist has trouble caring for his secret baby dinosaur, he takes Bheem and friends back in time to return the pet to its natural habitat."
Movie,Chhota Bheem - Neeli Pahaadi,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2021-07-22,2013,TV-Y7,64 min,Children & Family Movies,"Things get spooky when Bheem and his buddies travel to the border of Dholakpur, known for its eerie history and rumored to be haunted."
Movie,Chhota Bheem & Ganesh,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2021-07-22,2009,TV-Y7,68 min,Children & Family Movies,"Bheem and Lord Ganesha join forces to save Dholakpur from fire-spitting dragons, who have also captured Ganeshâ€™s mouse companion!"
Movie,Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2021-07-22,2011,TV-Y7,67 min,Children & Family Movies,Young lord Krishna has fallen for demoness Maayandriâ€™s revenge plot against him! Can Bheem rescue him and thwart Maayandriâ€™s other destructive plans?
Movie,Chhota Bheem & Krishna: Pataliputra- City of the Dead,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Arun Shekher, Sanchit Wartak",,2021-07-22,2010,TV-Y7,66 min,Children & Family Movies,Krishna needs Bheemâ€™s help: The ruined city of Pataliputra has been cursed! Can the friends do what it takes to bring light back into this town?
Movie,Chhota Bheem And The Broken Amulet,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,2021-07-22,2013,TV-Y7,64 min,Children & Family Movies,"When a stranger tries to steal an amulet from the palace, Bheem learns the sad story behind the ornament and heads to Africa to defeat the real villain."
Movie,Chhota Bheem And The Crown of Valhalla,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2021-07-22,2013,TV-Y7,64 min,Children & Family Movies,"To save the kingdom of Valhalla from invasion by Vikings, Bheem is gathering his army of friends, who are ready to put up a formidable fight!"
Movie,Chhota Bheem and the Incan Adventure,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2021-07-22,2013,TV-Y7,65 min,Children & Family Movies,"When Dholakpurâ€™s princess is kidnapped, Bheem is off to the land of the Incas to save her, but heâ€™s in for an even bigger challenge upon his arrival."
